"pregunta_faq","respuesta"
"¿Qué materias se cursan en tercer año en la carrera de Recursos Humanos de la modalidad a distancia?","Incluye Teoría y Práctica de la Motivación y Promoción, Estrategias y Métodos de Capacitación, Administración de Personal, Diagnóstico Organizacional, Ética y Deontología Profesional, Higiene, Seguridad y Medio Ambiente, Ergonomía y Salud Ocupacional y la Práctica Profesionalizante III."
"¿Qué tipo de prácticas incluye la carrera de Recursos Humanos?","Cada año incluye una Práctica Profesionalizante donde aplicás los conocimientos adquiridos en contextos laborales reales."
"¿Cuál es el perfil del egresado de la carrera de Recursos Humanos?","El egresado está capacitado para gestionar, planificar y controlar los procesos relacionados con el trabajo de las personas dentro de una organización."
"¿Qué tareas puede realizar un egresado de Recursos Humanos?","Podés diseñar y evaluar puestos de trabajo, realizar procesos de selección y contratación, aplicar estrategias de motivación y capacitación, y gestionar la administración del personal."
"¿En qué ámbitos puede trabajar un Técnico Superior en Recursos Humanos?","Podés desempeñarte en áreas de gestión de personas en empresas privadas, organismos públicos o consultoras especializadas."
"¿Qué competencias desarrolla el egresado de Recursos Humanos?","Desarrolla habilidades para diagnosticar la situación organizacional, analizar el liderazgo, implementar políticas de remuneración, comunicación y desarrollo del personal."
"¿El título de Técnico Superior en Recursos Humanos tiene validez nacional?","Sí, el título es oficial y tiene validez en todo el país."
"¿Qué título otorga la carrera de Publicidad del IES?","Otorga el título oficial de Técnico Superior en Publicidad, con validez nacional."
"¿En qué modalidades se puede cursar la carrera de Publicidad?","Podés cursarla en modalidad presencial en Córdoba o a distancia."
"¿Cuánto dura la carrera de Publicidad?","La carrera tiene una duración de tres años."
"¿Qué certificación intermedia se obtiene al finalizar el primer año?","Al finalizar el primer año obtenés la certificación de Asistente en Publicidad."
"¿Qué certificación intermedia se obtiene al finalizar el segundo año?","Al finalizar el segundo año obtenés la certificación de Redactor y Planificador Junior."
"¿Qué materias se cursan en el primer semestre de Publicidad?","Incluye Publicidad, Comunicación Visual, Introducción a la Creatividad, Mercadotecnia y Diseñomática I."
"¿Qué materias se cursan en el segundo semestre de Publicidad?","Incluye Análisis de los Medios de Comunicación, Fotografía Publicitaria, Comportamiento del Consumidor, Técnicas de Investigación Social, Gramática Aplicada y Diseñomática II."
"¿Qué materias se cursan en el tercer semestre de Publicidad?","Incluye Diseñomática III, Creación Publicitaria I, Planeamiento de la Comunicación I, Cultura Organizacional y Producción Audiovisual I."
"¿Qué materias se cursan en el cuarto semestre de Publicidad?","Incluye Redacción Publicitaria, Creación Publicitaria II, Planeamiento de la Comunicación II, Comunicación e Imagen, Publicidad Digital y la Práctica Profesionalizante II."
"¿Qué materias se cursan en el quinto semestre de Publicidad?","Incluye Dirección de Cuentas, Investigación de Mercado, Producción Gráfica, Práctica Profesionalizante III y Planeamiento Estratégico."
"¿Qué materias se cursan en el sexto semestre de Publicidad?","Incluye Ética y Deontología Profesional, Producción Audiovisual II, Historia del Arte, Práctica Profesionalizante IV y Producción Radial."
"¿Qué tipo de prácticas incluye la carrera de Publicidad?","Cada año incluye una Práctica Profesionalizante donde aplicás los conocimientos en contextos reales de comunicación y campañas publicitarias."
"¿Cuál es el perfil del egresado de la carrera de Publicidad?","El egresado está capacitado para crear, planificar, producir y ejecutar campañas publicitarias, seleccionando los medios adecuados y evaluando sus resultados."
"¿Qué tareas puede realizar un egresado de Publicidad?","Podés generar información para campañas, diseñar avisos, planificar medios y controlar la ejecución de estrategias publicitarias en distintas organizaciones."
"¿En qué ámbitos puede trabajar un Técnico Superior en Publicidad?","Podés desempeñarte en agencias de publicidad, centrales de medios, estudios de diseño o departamentos de comunicación de empresas."
"¿El título de Técnico Superior en Publicidad tiene validez nacional?","Sí, el título es oficial y tiene validez en todo el país."
"¿Qué título otorga la carrera de Comercio Internacional del IES?","Otorga el título oficial de Analista en Comercio Internacional, con validez nacional."
"¿En qué modalidad se puede cursar la carrera de Comercio Internacional?","La carrera se cursa de forma presencial en Córdoba."
"¿Cuánto dura la carrera de Comercio Internacional?","La carrera tiene una duración de tres años."
"¿Qué certificación intermedia se obtiene al finalizar el primer año?","Al finalizar el primer año obtenés la certificación de Gestor en Comercio y Estrategias Globales."
"¿Qué certificación intermedia se obtiene al finalizar el segundo año?","Al finalizar el segundo año obtenés la certificación de Analista de Negocios y Mercados Internacionales."
"¿Qué materias se cursan en el primer semestre de la carrera de Comercio Internacional?","Incluye Recursos Informáticos, Psicología Motivacional, Comercio Internacional I, Sociología Funcional, Mercadotecnia e Introducción a los Estudios Superiores."
"¿Qué materias se cursan en el segundo semestre de la carrera de Comercio Internacional?","Incluye Matemática, Técnicas de Investigación Social, Principios de Administración, Inglés I, Comercio Internacional II y la Práctica Profesionalizante I."
"¿Qué materias se cursan en el tercer semestre de la carrera de Comercio Internacional?","Incluye Investigación de Mercado, Probabilidad y Estadística, Geografía Económica, Inglés II y Elementos de Contabilidad."
"¿Qué materias se cursan en el cuarto semestre de la carrera de Comercio Internacional?","Incluye Negocios Internacionales, Ética y Deontología Profesional, Técnicas y Estrategias de Comercialización, Teoría y Práctica del Comercio Internacional, Análisis de Costos y la Práctica Profesionalizante II."
"¿Qué materias se cursan en el quinto semestre de la carrera de Comercio Internacional?","Incluye Fundamentos de Economía, Trámites Aduaneros, Derecho Civil y Comercial, Logística y la Práctica Profesionalizante III."
"¿Qué materias se cursan en el sexto semestre de la carrera de Comercio Internacional?","Incluye Elementos de Derecho de Comercio Internacional, Ofimática, Marketing de Comercio Internacional y la Práctica Profesionalizante IV."
"¿Qué tipo de prácticas incluye la carrera de Comercio Internacional?","Cada año incluye una Práctica Profesionalizante donde aplicás los conocimientos en contextos reales del comercio exterior y la logística internacional."
"¿Cuál es el perfil del egresado de Comercio Internacional?","El egresado está capacitado para gestionar operaciones de comercio exterior, analizar mercados internacionales y desarrollar estrategias de inserción global para las empresas."
"¿Qué tareas puede realizar un egresado de Comercio Internacional?","Podés realizar trámites aduaneros, gestionar exportaciones e importaciones, analizar oportunidades de negocio en mercados globales y evaluar estrategias comerciales internacionales."
"¿En qué ámbitos puede trabajar un Analista en Comercio Internacional?","Podés desempeñarte en empresas exportadoras, importadoras, agencias de aduana, consultoras de comercio exterior o instituciones financieras vinculadas al comercio global."
"¿Qué competencias desarrolla el egresado de Comercio Internacional?","Desarrolla habilidades en logística, operatoria aduanera, negociación internacional, marketing global y análisis de competitividad empresarial."
"¿El título de Analista en Comercio Internacional tiene validez nacional?","Sí, el título es oficial y tiene validez en todo el país."
"¿Qué título otorga la carrera de Simulaciones Virtuales y Videojuegos del IES?","Otorga el título oficial de Técnico Superior en Desarrollo de Simulaciones Virtuales y Videojuegos, con validez nacional."
"¿En qué modalidades se puede cursar la carrera de Videojuegos?","Podés cursarla en modalidad presencial en Córdoba o a distancia."
"¿Cuánto dura la carrera de Simulaciones Virtuales y Videojuegos?","La carrera tiene una duración de tres años."
"¿Qué certificación intermedia se obtiene al finalizar el primer año?","Al finalizar el primer año obtenés la certificación de Game Designer Jr."
"¿Qué certificación intermedia se obtiene al finalizar el segundo año?","Al finalizar el segundo año obtenés la certificación de Game Developer Jr."
"¿Qué materias se cursan en el primer semestre de la carrera de Videojuegos?","Incluye Interfaz Gráfica de Usuario, Inglés I, Historia y Análisis de los Videojuegos, Programación Lógica I, Técnicas de Dibujo e Introducción a los Estudios Superiores."
"¿Qué materias se cursan en el segundo semestre de la carrera de Videojuegos?","Incluye Matemática Aplicada, Programación Lógica II, Animación I, Edición de Imágenes Digitales y Laboratorio de Videojuegos."
"¿Qué materias se cursan en el tercer semestre de la carrera de Videojuegos?","Incluye Guionado de Simulaciones Virtuales y Videojuegos, Diseñomática para Videojuegos I, Programación, Inglés II y la Práctica Profesionalizante I."
"¿Qué materias se cursan en el cuarto semestre de la carrera de Videojuegos?","Incluye Sonido y Musicalización, Diseñomática para Videojuegos II, Edición Digital de Video y la Práctica Profesionalizante II."
"¿Qué materias se cursan en el quinto semestre de la carrera de Videojuegos?","Incluye Motores Gráficos, Animación II, Gestión y Proyectos de Simulaciones Virtuales y Videojuegos, Ética y Deontología Profesional e Idioma Extranjero."
"¿Qué materias se cursan en el sexto semestre de la carrera de Videojuegos?","Incluye Diseñomática para Videojuegos III, Plataformas Tecnológicas, Negocio y Simulaciones Virtuales y la Práctica Profesionalizante III."
"¿Qué tipo de prácticas incluye la carrera de Videojuegos?","Cada año incluye una Práctica Profesionalizante donde aplicás los conocimientos en desarrollo, animación y programación de videojuegos y simulaciones."
"¿Cuál es el perfil del egresado de la carrera de Simulaciones Virtuales y Videojuegos?","El egresado está capacitado para diseñar, programar y gestionar proyectos de videojuegos y simulaciones virtuales en distintos entornos y plataformas."
"¿Qué tareas puede realizar un egresado de Videojuegos?","Podés definir y concretar proyectos, desarrollar simulaciones, programar en distintos lenguajes, crear guiones y personajes, producir piezas interactivas y modelar entornos 3D."
"¿En qué ámbitos puede trabajar un Técnico Superior en Videojuegos?","Podés trabajar en estudios de videojuegos, agencias de publicidad, empresas de tecnología, medios de comunicación o de forma independiente."
"¿Qué competencias desarrolla la carrera de Simulaciones Virtuales y Videojuegos?","Desarrolla habilidades en programación, animación, diseño visual, guionado, gestión de proyectos y modelado 3D aplicadas a la industria del videojuego."
"¿El título de Técnico Superior en Desarrollo de Simulaciones Virtuales y Videojuegos tiene validez nacional?","Sí, el título es oficial y tiene validez en todo el país."
"¿Qué título otorga la carrera de Logística del IES?","Otorga el título oficial de Técnico Superior en Logística, con validez nacional."
"¿En qué modalidades se puede cursar la carrera de Logística?","Podés cursarla en modalidad presencial en Córdoba o a distancia."
"¿Cuánto dura la carrera de Logística?","La carrera tiene una duración de tres años."
"¿Qué certificación intermedia se obtiene al finalizar el primer año?","Al finalizar el primer año obtenés la certificación de Analista en Logística Interna."
"¿Qué certificación intermedia se obtiene al finalizar el segundo año?","Al finalizar el segundo año obtenés la certificación de Analista en Logística Externa."
"¿Qué materias se cursan en el primer semestre de Logística?","Incluye Matemática, Recursos Informáticos, Logística y Negocios, Inglés I y Portugués I."
"¿Qué materias se cursan en el segundo semestre de Logística?","Incluye Probabilidad y Estadística, Empresa y Producción, Principios de Administración e Inglés II."
"¿Qué materias se cursan en el tercer semestre de Logística?","Incluye Logística de Abastecimiento, Investigación Operativa, Servucción, Sistemas de Información y Portugués II."
"¿Qué materias se cursan en el cuarto semestre de Logística?","Incluye Logística de Producción, Administración de Recursos Humanos, Implementación de Normas y Calidad y Logística."
"¿Qué materias se cursan en el quinto semestre de Logística?","Incluye Auditoría de Logística, Logística y Distribución, Administración de la Producción, Cadena de Abastecimiento y Portugués III."
"¿Qué materias se cursan en el sexto semestre de Logística?","Incluye Transportes, Ética y Deontología Profesional, Logística y Redes de Comunicación y el Seminario Final."
"¿Qué tipo de prácticas o actividades realiza un estudiante de Logística?","Realiza proyectos de planificación, control y mejora de procesos de abastecimiento, producción y distribución."
"¿Cuál es el perfil del egresado de la carrera de Logística?","El egresado está capacitado para actuar en proyectos de abastecimiento, producción, comercialización y distribución, aplicando herramientas de calidad y gestión de procesos."
"¿Qué tareas puede realizar un Técnico Superior en Logística?","Podés identificar procesos de producción, diseñar indicadores de control, implementar normas de calidad y optimizar la cadena de suministro."
"¿En qué ámbitos puede trabajar un egresado de Logística?","Podés desempeñarte en áreas de abastecimiento, producción, distribución, transporte o calidad, tanto en empresas industriales como de servicios."
"¿Qué competencias desarrolla la carrera de Logística?","Desarrolla habilidades para planificar y gestionar procesos logísticos, aplicar normas de calidad, mejorar la eficiencia operativa y reducir costos empresariales."
"¿El título de Técnico Superior en Logística tiene validez nacional?","Sí, el título es oficial y tiene validez en todo el país."
